,corp_code,corp_name,stock_code
1514,01685251,컨텍,451760
22,01236286,컬러레이,900310
2428,00476498,컴투스,78340
1308,00535746,컴투스홀딩스,63080
1433,00598198,컴퍼니케이,307930
1140,00479705,케스피온,79190
424,01187148,케어랩스,263700
412,00549891,케어젠,214370
1776,00370918,케이디켐,221980
2033,00255105,케이바이오,38530
1925,00114765,케이비아이동국실업,1620
1798,01621280,케이비제21호스팩,424140
2097,01003040,케이사인,192250
1778,00209780,케이씨,29460
2071,00105271,케이씨씨,2380
2706,01428203,케이씨씨글라스,344820
436,00441650,케이씨에스,115500
442,01261893,케이씨텍,281820
2090,00441447,케이씨티,89150
185,00103042,케이씨티시,9070
2443,00101752,케이씨피드,25880
604,00603348,케이아이엔엑스,93320
1161,00536888,케이알엠,93640
547,00328191,케이에스피,73010
1073,00606664,케이엔더블유,105330
1088,00304076,케이엔솔,53080
1446,00672603,케이엔알시스템,199430
1185,01402995,케이엔에스,432470
1400,00769158,케이엔제이,272110
2689,00246620,케이엘넷,39420
2087,00242934,케이엠,83550
1833,00226352,케이엠더블유,32500
417,01095704,케이엠제약,225430
814,00668600,케이옥션,102370
1636,00426828,케이웨더,68100
1775,01323032,케이카,381970
1786,00861076,케이탑리츠,145270
1802,00190321,케이티,30200
2222,00349097,케이티스카이라이프,53210
1335,00260958,케이티알파,36030
2216,00244455,케이티앤지,33780
1372,00152437,케이프,64820
980,01037214,케이피에스,256940
492,00157636,케이피에프,24880
2379,00206686,케이피엠테크,42040
390,00357607,케이피티유,54410
1821,00961507,케일럼,258610
1010,01158553,켄코아에어로스페이스,274090
863,01507722,켈스,402420
1755,00371485,켐트로닉스,89010
91,01089350,켐트로스,220260
1813,00666329,코나솔,176590
1890,00349732,코나아이,52400
1782,00601988,코난테크놀로지,402030
2238,01573284,코닉오토메이션,391710
1104,00295857,코다코,46070
150,00329093,코데즈컴바인,47770
2108,00308559,코디,80530
392,01180118,코람코더원리츠,417310
1774,01430475,코람코라이프인프라리츠,357120
2337,00541437,코렌텍,104540
1788,00152589,코리아나,27050
257,00152686,코리아써키트,7810
120,00304915,코리아에셋투자증권,190650
301,00803425,코리아에프티,123410
433,00113191,코리안리,3690
787,00268118,코맥스,36690
588,00152783,코메론,49430
937,00997812,코미코,183300
1728,00187415,코미팜,41960
1242,00365934,코세스,89890
2672,01493793,코셈,360350
457,00965062,코셋,189350
2336,00442455,코스나인,82660
2251,01009789,코스맥스,192820
1409,00219574,코스맥스비티아이,44820
2496,00656289,코스맥스엔비티,222040
83,00763473,코스메카코리아,241710
886,00129989,코스모신소재,5070
1552,00160302,코스모화학,5420
1415,01476219,코스텍시스,355150
1529,00610861,코스텍시스템,169670
2621,00210856,코아스,71950
2589,00989664,코아스템켐온,166480
1500,00271501,코아시아,45970
1501,01031502,코아시아씨엠,196450
2048,01512575,코어라인소프트,384470
2421,00197476,코엔텍,29960
2397,00152862,코오롱,2020
2584,00241005,코오롱ENP,138490
