,corp_code,corp_name,stock_code
1759,01189438,HLB바이오스텝,278650
1626,01413371,HLB사이언스,343090
1388,00365590,HLB생명과학,67630
1138,00155586,HLB이노베이션,24850
1576,00336817,HLB제약,47920
1294,00552859,HLB테라퓨틱스,115450
2283,00172079,HLB파나진,46210
1348,01042775,HL만도,204320
1609,00299002,HL홀딩스,60980
619,00164645,HMM,11200
2185,01288827,HPSP,403870
419,00230911,HRS,36640
2131,00140168,HS애드,35000
2612,00174527,HS화성,2460
1893,01854763,HS효성,487570
2047,01675421,IBKS제20호스팩,439730
2206,01682740,IBKS제21호스팩,442770
2208,01701328,IBKS제22호스팩,448760
2209,01785700,IBKS제23호스팩,467930
1735,01792791,IBKS제24호스팩,469480
1265,00572905,ISC,95340
2049,00627029,ITX-AI,99520
795,00980122,JB금융지주,175330
1159,01041828,JTC,950170
2564,00225706,JW생명과학,234080
1470,00110431,JW신약,67290
2553,00149947,JW중외제약,1060
1979,00632304,JW홀딩스,96760
252,00258689,JYP Ent.,35900
1650,00876166,KBG,318000
2396,00158024,KBI메탈,24840
1463,00688996,KB금융,105560
1359,01622720,KB스타리츠,432320
314,00157539,KB오토시스,24120
1062,01724709,KB제25호스팩,455250
1039,01766167,KB제26호스팩,458320
1076,01785551,KB제27호스팩,464680
2027,01810796,KB제28호스팩,476470
1871,01816268,KB제29호스팩,478390
2664,00105466,KCC건설,21320
793,00265041,KCI,36670
1455,00159971,KC그린홀딩스,9440
380,00366517,KC산업,112190
303,00797364,KC코트렐,119650
1629,00111218,KD,44180
2700,00589127,KEC,92220
1647,00405278,KG모빌리언스,46440
2607,00138242,KG모빌리티,3620
1305,00115676,KG스틸,16380
2199,00366137,KG에코솔루션,151860
1645,00264547,KG이니시스,35600
255,00101220,KG케미칼,1390
1475,01097906,KH 건설,226360
1913,00125965,KH 미래물산,111870
1179,00193009,KH 필룩스,33180
381,00378628,KH바텍,60720
1448,00108746,KIB플러그에너지,15590
1706,00159740,KISCO홀딩스,1940
14,00208134,KNN,58400
2632,00191472,KPX케미칼,25000
1009,00587466,KPX홀딩스,92230
2162,00112378,KR모터스,40
1128,00160232,KSS해운,44450
1883,00618410,KS인더스트리,101000
2227,00372882,KTcs,58850
2130,00372873,KTis,58860
135,00657987,KX,122450
2079,00276834,KX하이텍,52900
1150,00527011,LB루셈,376190
1029,00412348,LB세미콘,61970
1624,00231901,LB인베스트먼트,309960
523,00593032,LF,93050
870,00120021,LG,3550
2624,00105873,LG디스플레이,34220
1610,00356370,LG생활건강,51900
2205,01515323,LG에너지솔루션,373220
287,00231363,LG유플러스,32640
2640,00105961,LG이노텍,11070
1131,00401731,LG전자,66570
573,00222532,LG헬로비전,37560
897,00356361,LG화학,51910
2202,00503668,LIG넥스원,79550
2066,00992543,LK삼양,225190
376,00105952,LS,6260
198,00104698,LS네트웍스,680
1097,00225742,LS마린솔루션,60370
1666,01528141,LS머트리얼즈,417200
1689,01093007,LS에코에너지,229640
1869,00330424,LS증권,78020
2670,00525934,LX세미콘,108320
1124,00120076,LX인터내셔널,1120
1346,00759513,LX하우시스,108670
368,01562589,LX홀딩스,383800
1588,00445841,MDS테크,86960
173,00121534,MH에탄올,23150
2399,00215976,MIT,38340
1526,00266961,NAVER,35420
237,00974927,NEW,160550
769,00363927,NE능률,53290
2402,00357740,NHN KCP,60250
1954,00645089,NHN벅스,104200
2104,01480780,NH올원리츠,400760
1968,00120182,NH투자증권,5940
844,01391033,NH프라임리츠,338100
1188,00158316,NICE,34310
1027,00158325,NICE평가정보,30190
1316,00116301,NI스틸,8260
1945,01037542,NPX,222160
1447,01760738,OCI,456040
1929,00148896,OCI홀딩스,10060
1680,00767460,PI첨단소재,178920
742,00133557,PN풍년,24940
2649,00155319,POSCO홀딩스,5490
2178,01078178,RFHIC,218410
1545,01343665,RF머트리얼즈,327260
282,00580667,S&K폴리텍,91340
1083,00138279,S-Oil,10950
1110,01082418,SAMG엔터,419530
1764,00156910,SBI인베스트먼트,19550
3,00938688,SBI핀테크솔루션즈,950110
1325,00130772,SBS,34120
1212,00260745,SCI평가정보,36120
1951,01110182,SCL사이언스,246960
2433,00574611,SDN,99220
1048,00301246,SFA반도체,36540
842,00963976,SG,255220
400,00264714,SG&G,40610
2005,00351579,SGA,49470
2011,00988364,SGA솔루션즈,184230
2152,00141246,SGC E&C,16250
2113,00125150,SGC에너지,5090
1008,00152039,SG글로벌,1380
526,00133511,SG세계물산,4060
289,00137809,SHD,1770
290,00136457,SH에너지화학,2360
918,00138260,SIMPAC,9160
1978,00181712,SK,34730
490,00139889,SKC,11790
562,00144164,SK가스,18670
1106,00131780,SK네트웍스,1740
1762,00131832,SK디스커버리,6120
1135,00508344,SK디앤디,210980
467,01535150,SK리츠,395400
2145,01319899,SK바이오사이언스,302440
1223,01596425,SK스퀘어,402340
654,01188730,SK시그넷,260870
1541,01386916,SK아이이테크놀로지,361610
1299,00480367,SK오션플랜트,100090
2244,00631518,SK이노베이션,96770
1948,01817081,SK이터닉스,475150
2193,00131850,SK증권,1510
1060,01744703,SK증권제10호스팩,457940
1441,01797440,SK증권제11호스팩,472230
2586,01798722,SK증권제12호스팩,473000
2321,01801822,SK증권제13호스팩,473950
1736,01671197,SK증권제8호스팩,435870
1675,01725577,SK증권제9호스팩,455910
1625,01267170,SK케미칼,285130
367,00159023,SK텔레콤,17670
1974,00164779,SK하이닉스,660
1200,00185046,SM C&C,48550
1769,00367604,SM Life Design,63440
1079,00134477,SNT다이내믹스,3570
273,00398792,SNT모티브,64960
148,00648721,SNT에너지,100840
753,00225159,SNT홀딩스,36530
2064,00399694,SOOP,67160
2465,00125530,SPC삼립,5610
370,00138297,STX,11810
2050,01784394,STX그린로지스,465770
1201,00480455,STX엔진,77970
2362,00406046,STX중공업,71970
2266,00132211,SUN&L,2820
