corporation,product,description,investment_round,total_investment,revenue,employee_num,keyword
레브잇,올웨이즈,모바일 초저가 커머스 플랫폼 '올웨이즈'를 운영하는 기업,series B,853.0억원,-,85,"커머스, 푸드/농업이커머스, 리뷰, 신선식품, 가공식품, 리워드"
두잇,두잇,팀매칭 배달앱 '두잇'을 운영하는 기업,seed,26.0억원,99.9억원,47,"물류, 푸드/농업배송, 배달, B2C, 플랫폼/마켓플레이스, APP, WEB"
짐캐리,짐캐리,여행 짐 당일 배송 서비스 플랫폼 '짐캐리'를 운영하는 기업,series A,비공개,37.4억원,106,"물류물류솔루션, 배송, 배송대행, B2C, 용역, WEB"
버킷플레이스,오늘의집,인테리어 콘텐츠 공유 커뮤니티 및 커머스 플랫폼 '오늘의집'을 운영하는 기업,series D,"3,180.0억원 이상","2,402.1억원",649,"커머스, 소셜미디어/커뮤니티, 홈리빙/펫이커머스, 커뮤니티, 가구, 인테리어, 생활용품/소품"
채널코퍼레이션,채널톡,올인원 비즈니스 메신저 '채널톡'을 운영하는 기업,series C,423.3억원 이상,130.0억원,164,"광고/마케팅, 인사/비즈니스/법률마케팅솔루션, 협업툴/생산성, B2B, 스타트업/창업자"
요헤미티,요헤미티,스포츠 브랜드 '요헤미티'를 운영하는 기업,seed,비공개,15.4억원,7,"커머스, 피트니스/스포츠이커머스, 스포츠/운동, 음료, 플랫폼/마켓플레이스"
메디허브,닥터플렉스,의료자문의 매칭 플랫폼 '닥터플렉스'를 운영하는 기업,비공개,비공개,"7,127.7만원",9,"헬스케어/바이오큐레이션, 바이오/의료, B2B, 플랫폼/마켓플레이스"
에이블리코퍼레이션,에이블리,스타일 커머스 플랫폼 '에이블리'를 운영하는 기업,비공개,"4,230.0억원","2,594.9억원",302,"커머스, 패션이커머스, 리뷰, 의류, 신발, 패션잡화, 쥬얼리, 인공지능"
룩인사이트,약올려,병원도매 및 약국 직거래 플랫폼 '약올려'를 운영하는 기업,비공개,1.0억원 이상,4.5억원,4,"헬스케어/바이오도매, 병원정보, B2B, 플랫폼/마켓플레이스"
바크,바크,리커버리 슬리퍼 브랜드 '바크'를 운영하는 기업,비공개,비공개,6.2억원,7,"커머스, 패션이커머스, 신발, 제조기술, B2C, 상품판매/브랜드/하드웨어"
콘스탄트,리필드,탈모케어 서비스 '리필드'를 운영하는 기업,series A,17.0억원,11.8억원,23,"헬스케어/바이오, 뷰티/화장품디지털헬스케어, 바이오/의료, 의료기기, 디지털치료제"
뤼튼테크놀로지스,뤼튼,"생성 AI 플랫폼 '뤼튼', AI 작문 보조 솔루션 '뤼튼 트레이닝' 등을 운영하는 기업",pre-B,438.0억원 이상,-,101,"콘텐츠/예술, 교육, AI/딥테크/블록체인비대면교육, 인공지능, B2C, 구독, 소프트웨어, 콘텐츠"
바로팜,바로팜,의약품 주문통합 플랫폼 '바로팜'을 운영하는 기업,series B,200.0억원 이상,78.9억원,52,"헬스케어/바이오이커머스, 도매, 바이오/의료"
인테이크,인테이크,"푸드테크 기반 대체단백, 대체당류 식품 개발 및 대체식품 브랜드 '인테이크'를 운영하는 기업",series B,163.0억원,174.3억원,41,"커머스, 푸드/농업이커머스, 유통, 건강기능식품, 간편식/HMR"
해빗팩토리,시그널플래너,AI 기반 보험 분석 서비스 '시그널플래너'를 운영하는 기업,series C,344.0억원,51.2억원,65,"금융/보험/핀테크, AI/딥테크/블록체인보험/인슈어테크, 마이데이터, 인공지능, 빅데이터"
더휴식,더휴식,중소형 숙박업소 대상 솔루션을 운영하는 기업,series B,228.0억원,249.6억원,25,"부동산/건설숙박, 인테리어, 리모델링, 건축, 설계, B2B"
트웰브랩스,마렝고,AI 기반 영상검색 솔루션을 개발하는 기업,series A,"1,061.5억원",54.1억원,39,"콘텐츠/예술, AI/딥테크/블록체인영상/비디오, 인공지능, 자연어처리/텍스트마이닝"
컬리,컬리,신선제품 새벽배송 플랫폼 '컬리'를 운영하는 기업,pre-IPO,1.1조원 이상,2.1조원,2,"커머스, 물류, 푸드/농업이커머스, 라스트마일, 신선식품, B2C, 플랫폼/마켓플레이스"
스플랩,센드타임,스케줄링 자동화 솔루션 '센드타임'을 운영하는 기업,seed,비공개,"3,912.4만원",11,"인사/비즈니스/법률조직관리/조직문화, 협업툴/생산성, 클라우드, B2B"
핀테크,모니,개인 신용 정보 및 마이데이터 서비스 '모니'를 운영하는 기업,series A,20.0억원,34.5억원,24,"금융/보험/핀테크자산관리, 대출, 보험/인슈어테크, 주식/증권, 마이데이터"
마이리얼트립,마이리얼트립,여행상품 중개 플랫폼 '마이리얼트립'을 운영하는 기업,series F,"1,980.0억원 이상",-,253,"여행/레저숙박, 항공권, 여행정보, 레저/액티비티, B2C, 플랫폼/마켓플레이스"
펫팜,펫팜,동물약국 전용 쇼핑몰 '펫팜'을 운영하는 기업,series A,32.0억원 이상,29.3억원,22,"커머스, 헬스케어/바이오, 홈리빙/펫이커머스, 동물병원/수의사, 펫케어/펫테크, B2C"
참약사,참약사,약국 체인 플랫폼 '참약사'를 운영하는 기업,pre-A,비공개,183.6억원,54,"헬스케어/바이오바이오/의료, B2B, 플랫폼/마켓플레이스, 오프라인매장"
당근마켓,당근,지역 기반 중고 직거래 플랫폼 '당근'을 운영하는 기업,series D,"2,259.0억원",-,485,"커머스이커머스, 중고, B2C, 플랫폼/마켓플레이스, APP"
매스프레소,콴다,AI 기반 수학풀이 검색 플랫폼 '콴다'를 운영하는 기업,비공개,"1,527.5억원 이상",135.5억원,136,"교육, AI/딥테크/블록체인수학, 인공지능, 딥러닝/머신러닝, 검색/검색엔진, B2C"
노타,넷츠프레소,딥러닝 모델 경량화 기술 기반 AI 모델 압축 플랫폼 '넷츠프레소'를 운영하는 기업,series C,570.0억원 이상,44.8억원,96,"통신/보안/데이터, AI/딥테크/블록체인데이터, 보안/암호화, 인공지능, 딥러닝/머신러닝"
무신사,무신사,패션 커머스 플랫폼 '무신사스토어'를 운영하는 기업,series C,"5,600.0억원","8,829.7억원",1,"커머스, 패션이커머스, 유통, 커뮤니티, 의류, 신발, 패션잡화"
크리에이트립,크리에이트립,외국인 대상 한국 여행 정보 플랫폼 '크리에이트립'을 운영하는 기업,비공개,181.0억원,48.0억원,56,"여행/레저숙박, 여행정보, 레저/액티비티, B2B, B2C, 광고"
디웨일,클랩,성과 관리 서비스 '클랩'을 운영하는 기업,series A,비공개,-,22,"인사/비즈니스/법률조직관리/조직문화, 인사솔루션, 협업툴/생산성"
메딜리티,필아이,"약국, 약사 대상 약 카운팅 플랫폼 '필아이'를 운영하는 기업",pre-A,56.0억원 이상,5.1억원,17,"헬스케어/바이오디지털헬스케어, 바이오/의료, B2C, 플랫폼/마켓플레이스"
클래스101,클래스101,온라인 기반 취미 클래스 플랫폼 '클래스101'을 운영하는 기업,series B,586.1억원 이상,-,46,"커머스, 콘텐츠/예술, 교육이커머스, 영상/비디오, 취미교육, 비대면교육, B2C"
뤼이드,산타,AI 기반 토익 학습 플랫폼 '산타토익'을 운영하는기업,series D,"2,844.0억원 이상",56.7억원,63,"교육, AI/딥테크/블록체인영어, 외국어, 인공지능, 딥러닝/머신러닝, B2C, 플랫폼/마켓플레이스"
힐링페이퍼,강남언니,메디컬뷰티 플랫폼 '강남언니'를 운영하는 기업,series B,233.0억원,417.0억원,124,"헬스케어/바이오커뮤니티, 병원정보, B2C, 플랫폼/마켓플레이스"
라포랩스,퀸잇,4050 여성 패션 플랫폼 '퀸잇'을 운영하는 기업,series B,855.0억원 이상,412.6억원,148,"커머스, 패션이커머스, 큐레이션, 의류, 신발, 패션잡화, 쥬얼리"
와드,캐치테이블,실시간 식당 예약 서비스 '캐치테이블'을 운영하는 기업,pre-IPO,724.2억원,75.5억원,196,"푸드/농업식당예약, 맛집정보/리뷰, B2B, B2C, 플랫폼/마켓플레이스"
블리몽키즈,마카롱,인도 뷰티 커뮤니티 커머스 '마카롱'을 운영하는 기업,series B,182.0억원 이상,110.5억원,23,"커머스, 소셜미디어/커뮤니티, 뷰티/화장품이커머스, 스킨케어/클렌징, 색조/메이크업, 헤어/바디"
팀스파르타,스파르타코딩클럽,온라인 기반 코딩 교육 플랫폼 '스파르타코딩클럽' 등을 운영하는 기업,series A,130.0억원,318.3억원,178,"교육취미교육, 성인실무교육, 비대면교육, 프로그래밍개발"
와이즐리컴퍼니,와이즐리,생필품 하드디스카운터 커머스 '와이즐리'를 운영하는 기업,series B,218.0억원,305.4억원,51,"커머스, 뷰티/화장품이커머스, 정기구독, 미용기기, B2C, 플랫폼/마켓플레이스"
마카롱팩토리,마이클,차량관리 앱 '마이클'을 운영하는 기업,series A,64.0억원 이상,196.5억원,42,"모빌리티/교통세차, 정비, 커넥티드카/ADAS, B2B, B2C"
트래블월렛,트래블월렛,외화 충전 및 결제 서비스 '트래블페이'를 운영하는 기업,series C,469.0억원 이상,230.6억원,94,"금융/보험/핀테크송금, 외환/환전, B2B, B2C, 플랫폼/마켓플레이스"
뱅크샐러드,뱅크샐러드,금융데이터 기반 개인 맞춤형 자산관리 플랫폼 '뱅크샐러드'를 운영하는 기업,series D,"1,988.1억원",67.7억원,132,"금융/보험/핀테크자산관리, 송금, B2C, SaaS/엔터프라이즈, APP"
아이트럭,아이트럭,중고 트럭 거래 플랫폼 '아이트럭'을 운영하는 기업,series A,100.0억원 이상,21.6억원,18,"커머스, 모빌리티/교통중고, 중고차, B2C, 플랫폼/마켓플레이스, APP"
플렉스,플렉스,클라우드 기반 인사관리 소프트웨어 '플렉스'를 제공하는 기업,series B,480.0억원,160.6억원,171,"인사/비즈니스/법률, 통신/보안/데이터조직관리/조직문화, 인사솔루션, 전자계약, 회계"
비바리퍼블리카,토스,모바일 금융 종합 서비스 '토스'를 운영하는 기업,series G,1.5조원,"3,361.7억원",1,"금융/보험/핀테크, 통신/보안/데이터결제/페이먼트, 보험/인슈어테크, 주식/증권, 은행"
마인이스,차란,패션 리커머스 서비스 '차란'을 운영하는 기업,series A,153.6억원 이상,3.1억원,67,"커머스, 패션중고, 의류, 패션잡화, 중고패션, 패션테크, B2C"
헬스포트,굿팜 모바일약국,약료서비스 솔루션 '굿팜'을 운영하는 기업,series A,57.0억원 이상,11.6억원,31,"커머스, 헬스케어/바이오이커머스, 디지털헬스케어, 바이오/의료"
백패커,아이디어스(idus),핸드메이드 커머스 플랫폼 '아이디어스'를 운영하는 기업,series C,665.0억원 이상,469.4억원,179,"커머스, 푸드/농업, 홈리빙/펫이커머스, 반찬, 디저트, 가공식품, 생활용품/소품, 문구"
의식주컴퍼니,런드리고,비대면 세탁 플랫폼 '런드리고'를 운영하는 기업,series C,"1,225.0억원",481.8억원,624,"홈리빙/펫세탁, B2C, 플랫폼/마켓플레이스, APP, 비대면/무인시스템/Untact"
야놀자,야놀자,"숙박, 여행 정보 제공 및 예약 서비스 '야놀자'를 운영하는 기업",비공개,2.4조원,"3,753.6억원",901,"여행/레저숙박, 여행정보, 캠핑, 레저/액티비티, 검색/검색엔진"
화이트큐브,챌린저스,목표 관리 및 습관형성 서비스 '챌린저스'를 운영하는 기업,series A,60.0억원,57.2억원,25,"소셜미디어/커뮤니티커뮤니티, B2B, B2C, 광고, APP, 콘텐츠, O2O"
휴베이스,휴베이스몰,약국 프랜차이즈 '휴베이스'를 운영하는 기업,-,-,51.6억원,20,"커머스, 헬스케어/바이오이커머스, 신약, B2B, 상품판매/브랜드/하드웨어"
엘리스그룹,엘리스,코딩 교육 플랫폼 '엘리스'를 운영하는 기업,series C,333.5억원 이상,-,117,"교육, AI/딥테크/블록체인성인실무교육, 프로그래밍개발, 인공지능"
문토,문토,관심사 기반 커뮤니티 플랫폼 '문토'를 운영하는 기업,series A,72.0억원 이상,8.2억원,14,"소셜미디어/커뮤니티SNS, 커뮤니티, B2C, 플랫폼/마켓플레이스, APP"
트릿지,트릿지,"데이터 기반 농식품 솔루션 플랫폼 '트릿지', 수입식품 셀렉샵 '유픽'을 운영하는 기업",series D,"1,417.0억원",674.1억원,170,"커머스, 물류, 푸드/농업유통, 물류솔루션, 풀필먼트, 신선식품, 농업"
딥다이브,베리시,여성 속옷 브랜드 ‘베리시’를 운영하는 기업,-,-,293.5억원,67,"커머스, 패션이커머스, 의류, B2C, 여성, 상품판매/브랜드/하드웨어"
한국신용데이터,캐시노트,소상공인 경영관리 플랫폼 '캐시노트'를 운영하는 기업,비공개,"2,698.2억원 이상",64.5억원,183,"금융/보험/핀테크, 인사/비즈니스/법률조직관리/조직문화, 세무, 회계, 경리/경영관리, 소상공인"
넥스트그라운드,집품,부동산 거주 리뷰·평가 플랫폼 '집품'을 운영하는 기업,seed,비공개,-,9,"부동산/건설리뷰, 부동산중개, 임대, 프롭테크, 빅데이터, B2C"
미리디,미리캔버스,디자인 협업 솔루션 '미리캔버스' 등을 운영하는 기업,series B,230.0억원,606.8억원,323,"콘텐츠/예술, 광고/마케팅디자인, 마케팅솔루션, B2C, 플랫폼/마켓플레이스"
달파,달파,기업 맞춤형 AI 솔루션을 운영하는 기업,pre-A,133.0억원 이상,1.2억원,31,"AI/딥테크/블록체인프로그래밍개발, 인공지능, B2B, 소프트웨어"
번개장터,번개장터,중고상품 거래 및 커뮤니티 플랫폼 '번개장터'를 운영하는 기업,series E,"1,780.0억원 이상",341.3억원,184,"커머스, 소셜미디어/커뮤니티중고, 커뮤니티, B2C, 플랫폼/마켓플레이스, 광고"
업스테이지,아숙업,AI 챗봇 서비스 '아숙업'을 운영하는 기업,series B,"1,416.0억원",46.1억원,128,"통신/보안/데이터, AI/딥테크/블록체인프로그래밍개발, 인공지능, B2B, SaaS/엔터프라이즈"
핏펫,핏펫,반려동물 건강관리 플랫폼 '핏펫'을 운영하는 기업,비공개,883.0억원 이상,239.2억원,109,"금융/보험/핀테크, 홈리빙/펫펫케어/펫테크, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어"
데일리샷,데일리샷,온라인 주류 플랫폼 '데일리샷'을 운영하는 기업,series B,124.8억원,28.1억원,39,"커머스, 푸드/농업이커머스, 스마트오더, 리뷰, 와인, 맥주, 기타주류"
브레이브모바일,숨고,생활서비스 매칭플랫폼 '숨고'를 운영하고 있는 기업,series C,496.0억원,458.6억원,122,"소셜미디어/커뮤니티, 인사/비즈니스/법률커뮤니티, 인테리어, 가사노동, 리모델링, 재능공유"
자비스앤빌런즈,삼쩜삼,세금 신고·환급 도움 서비스 '삼쩜삼'을 운영하는 기업,series B (추정),389.0억원 이상,507.1억원,182,"금융/보험/핀테크, 인사/비즈니스/법률, AI/딥테크/블록체인세무, 회계, 경리/경영관리, ERP/그룹웨어, 블록체인기술"
티오더,,태블릿 무인 주문 플랫폼 '티오더'를 제공하는 기업,series B,437.5억원 이상,596.1억원,292,"커머스, 광고/마케팅, 인사/비즈니스/법률스마트오더, 소상공인, 빅데이터, B2B, SaaS/엔터프라이즈"
발란,발란,명품 커머스 플랫폼 '발란'을 운영하는 기업,series C,735.0억원 이상,392.5억원,58,"커머스, 패션이커머스, 직구/역직구, 유통, 의류, 신발, 패션잡화"
데이원컴퍼니,패스트캠퍼스,성인 대상 교육 콘텐츠 플랫폼 '패스트캠퍼스'를 운영하는 기업,series D,865.0억원,"1,165.9억원",463,"콘텐츠/예술, 교육영상/비디오, 성인실무교육, 비대면교육"
스테이폴리오,스테이폴리오,파인 스테이 기반 큐레이션 플랫폼 '스테이폴리오' 및 제품 판매 서비스 '메이크폴리오'를 운영하는 기업,M&A,110.0억원 이상,37.1억원,41,"커머스, 여행/레저숙박, 여행정보, B2C, 플랫폼/마켓플레이스, APP"
모두싸인,모두싸인,온라인 전자계약 서비스 '모두싸인'을 운영하는 기업,series C,317.0억원 이상,-,71,"인사/비즈니스/법률, AI/딥테크/블록체인협업툴/생산성, 전자계약, 법률, B2B, SaaS/엔터프라이즈"
프리윌린,매쓰플랫,"AI 기반 수학교육 솔루션 '매쓰플랫', 문제 추천 및 분석 서비스 '풀리수학'을 운영하는 기업",series B,120.0억원 이상,120.3억원,120,"교육, AI/딥테크/블록체인수학, 청소년교육, 선생님, 인공지능, 빅데이터"
보이저엑스,브루,"AI 영상 편집기 '브루', 모바일 스캐너 앱 '브이플랫', 고객 문의 분석 툴 'VOC STUDIO'를 운영하는 기업",series A,300.0억원,19.8억원,67,"콘텐츠/예술, 통신/보안/데이터, AI/딥테크/블록체인영상/비디오, 사진, 프로그래밍개발, 인공지능"
우아한형제들,배달의민족,배달음식 중개플랫폼 '배달의민족'을 운영하는 기업,M&A,"5,063.0억원",3.4조원,2,"커머스, 물류, 푸드/농업이커머스, 리뷰, 라스트마일, 배달, 검색/검색엔진"
이그니스,에잇템,간편식 브랜드 '에잇템'을 운영하는 기업,series B,424.0억원,946.9억원,127,"커머스, 푸드/농업이커머스, 간편식/HMR, 비건, B2C, 플랫폼/마켓플레이스"
필라이즈,필라이즈,AI 기반 초개인화 영양 관리 플랫폼 '필라이즈'를 운영하는 기업,series A,150.0억원,2.4억원,15,"헬스케어/바이오, AI/딥테크/블록체인큐레이션, 디지털헬스케어, 건강기능식품"
페이히어,페이히어 셀러,클라우드 기반 모바일 포스를 개발하는 기업,series B,340.0억원 이상,-,244,"금융/보험/핀테크, 제조/하드웨어스마트오더, 결제/페이먼트, POS, B2B, SaaS/엔터프라이즈"
두들린,그리팅,기업용 채용 관리 솔루션 ‘그리팅’을 운영하는 기업,series B,157.5억원,-,64,"인사/비즈니스/법률, 통신/보안/데이터구인구직/채용, 조직관리/조직문화, 협업툴/생산성"
비바이노베이션,착한의사,건강검진 플랫폼 '착한의사'를 운영하는 기업,비공개,198.0억원,23.8억원,40,"헬스케어/바이오, AI/딥테크/블록체인디지털헬스케어, 원격진료, 병원정보, 인공지능"
아토머스,마인드카페,정신건강 플랫폼 '마인드카페'를 운영하는 기업,series B,335.5억원,69.5억원,84,"소셜미디어/커뮤니티, 헬스케어/바이오커뮤니티, 디지털헬스케어, 심리상담/정신건강"
로앤컴퍼니,로톡,법률 플랫폼 '로톡'을 운영하는 기업,series C,370.0억원 이상,58.2억원,50,"인사/비즈니스/법률, AI/딥테크/블록체인법률, 인공지능, B2C, 플랫폼/마켓플레이스, APP"
아이헤이트플라잉버그스,밀당PT,AI 기반 1:1 온택트 튜터링 서비스 '밀당PT'와 올인원 수업관리 솔루션 '스쿨PT'를 운영하는 에듀테크 기업,비공개,635.1억원 이상,259.9억원,530,"교육영어, 청소년교육, 인공지능, B2C, 구독, APP"
드라마앤컴퍼니,리멤버,명함관리 및 채용 플랫폼 '리멤버'를 운영하는 기업,series D,"1,992.0억원 이상",197.8억원,211,"인사/비즈니스/법률구인구직/채용, 조직관리/조직문화, 비전센싱/영상인식/센서"
데이터라이즈,데이터라이즈,CRM 마케팅 솔루션 '데이터라이즈'를 운영하는 기업,series B,276.0억원,31.5억원,44,"커머스, 광고/마케팅, 통신/보안/데이터이커머스, 애드테크, 마케팅솔루션, 소비자조사"
크림,크림,한정판 상품 리셀 플랫폼 '크림'을 운영하는 기업,비공개,"3,906.0억원","1,222.2억원",186,"커머스, 패션이커머스, 중고, 의류, 신발, 패션잡화, 중고패션"
페이타랩,패스오더,비대면 주문결제 솔루션 '패스오더'를 운영하는 기업,series B,137.0억원 이상,33.9억원,68,"푸드/농업스마트오더, 소상공인, B2B, B2C, SaaS/엔터프라이즈"
월급쟁이부자들,월급쟁이부자들,경제 콘텐츠 플랫폼 '월급쟁이부자들'을 운영하는 기업,-,-,350.0억원,86,"금융/보험/핀테크, 교육영상/비디오, 자산관리, 주식/증권, 재테크, 취미교육"
글로랑,꾸그,온라인 실시간 교육 플랫폼 '꾸그'를 운영하는 기업,series A,248.0억원 이상,-,55,"소셜미디어/커뮤니티, 교육커뮤니티, 초등교육, 유아교육, B2C, 플랫폼/마켓플레이스"
라포테이블,팔도감,산지직송 커머스 플랫폼 '팔도감'을 운영하는 기업,series A,70.0억원,66.3억원,34,"커머스, 푸드/농업이커머스, 유통, 반찬, 신선식품, 농업, 축산업, 수산업"
버핏서울,버핏그라운드,온오프라인 피트니스 플랫폼 '버핏그라운드' 등을 운영하는 기업,series B (추정),66.0억원 이상,126.3억원,81,"헬스케어/바이오, 피트니스/스포츠홈트레이닝, PT/피트니스, 스포츠/운동, B2C"
인티그레이션,메디스트림,"의료인 대상 헬스케어 플랫폼 '메디스트림', '모어덴', '치즈톡'과 한의학 기반 다이어트 서비스 '린다이어트'를 운영하는 기업",series C,386.0억원 이상,240.7억원,116,"소셜미디어/커뮤니티, 헬스케어/바이오SNS, 커뮤니티, B2C, APP, WEB"
캐비지,어글리어스,못난이 농산물 정기배송 서비스 '어글리어스'를 운영하는 기업,pre-A,19.0억원 이상,81.5억원,21,"커머스, 푸드/농업정기구독, 배달, 신선식품, 농업, B2C, 플랫폼/마켓플레이스"
쏘카,쏘카,모바일 기반 시간제 카셰어링 서비스 '쏘카'를 운영하는 기업,IPO,"4,872.0억원 이상","3,686.5억원",440,"커머스, 모빌리티/교통카쉐어링/차량공유, B2B, B2C, 렌탈/대여, APP"
펫프렌즈,펫프렌즈,반려동물 쇼핑 플랫폼 '펫프렌즈'를 운영하는 기업,M&A,285.0억원 이상,-,122,"커머스, 홈리빙/펫이커머스, 사료, 펫패션, 펫케어/펫테크, B2C, 플랫폼/마켓플레이스"
리디,리디,웹툰·웹소설 콘텐츠 플랫폼 '리디' 등을 운영하는 기업,pre-IPO,"3,855.0억원","2,154.0억원",459,"콘텐츠/예술정기구독, 웹툰/만화, B2C, 플랫폼/마켓플레이스"
크몽,크몽,프리랜서 마켓 플랫폼 '크몽'을 운영하는 기업,series C,459.0억원,334.4억원,144,"소셜미디어/커뮤니티, 인사/비즈니스/법률커뮤니티, 재능공유, 아웃소싱, B2B, B2C, 플랫폼/마켓플레이스"
아우름플래닛,라이너,개인화 정보 큐레이션 플랫폼 '라이너'를 운영하는 기업,series B,167.5억원 이상,3.5억원,37,"통신/보안/데이터, AI/딥테크/블록체인인터넷기술, 모바일기술, 프로그래밍개발, 검색/검색엔진"
인프랩,인프런,"IT 교육 정보 플랫폼 ‘인프런’, 채용 플랫폼 ‘랠릿’을 운영하는 기업",series A,65.0억원 이상,210.1억원,69,"콘텐츠/예술, 교육, 인사/비즈니스/법률커뮤니티, 외국어, 취미교육, 성인실무교육, 비대면교육"
케어닥,케어닥,시니어 대상 요양보호시설 검색 및 간병인 매칭 플랫폼 '케어닥'을 운영하는 기업,series B,315.0억원,29.8억원,59,"헬스케어/바이오병원정보, 요양, 빅데이터, B2C, 시니어/실버"
쿠팡,쿠팡,물류 풀필먼트 기반 종합 이커머스 플랫폼 '쿠팡'을 운영하는 기업,IPO,9.4조원,30.7조원,11000,"커머스이커머스, 직구/역직구, B2C, 플랫폼/마켓플레이스"
인터스텔라,알렛츠,미디어 기반 커머스 플랫폼 ‘알렛츠'를 운영하는 기업,-,-,150.3억원,43,"커머스, 콘텐츠/예술, 광고/마케팅이커머스, 미디어, 마케팅솔루션, B2C, 플랫폼/마켓플레이스"
고이장례연구소,고이,통합 장례 플랫폼 '고이'를 운영하는 기업,pre-A,29.0억원 이상,12.1억원,19,"기타B2C, 시니어/실버, 기타서비스, 장례"
뉴넥스,브랜디,"풀필먼트 기반 패션 커머스 플랫폼 '브랜디', '하이버' 등을 운영하는 기업",series D,"1,339.0억원 이상",571.7억원,151,"커머스, 패션이커머스, 리뷰, 풀필먼트, 의류, 신발, 패션잡화"
브레인커머스,잡플래닛,기업정보 공유 플랫폼 '잡플래닛'을 운영하는 기업,series B (추정),113.0억원 이상,126.0억원,124,"소셜미디어/커뮤니티, 인사/비즈니스/법률, AI/딥테크/블록체인커뮤니티, 구인구직/채용, 빅데이터, B2B, B2C, 플랫폼/마켓플레이스"
스페이스브이,삼삼엠투,단기 임대 플랫폼 '삼삼엠투'를 운영하는 기업,pre-A,10.0억원,23.8억원,21,"부동산/건설부동산중개, 프롭테크, B2C, 플랫폼/마켓플레이스"
와이콤마,드립,MZ 대상 패션 아울렛 플랫폼 '드립'을 운영하는 기업,seed,비공개,-,3,"커머스, 패션이커머스, 의류, 패션잡화, B2C, 상품판매/브랜드/하드웨어"
지바이크,지쿠,전동킥보드 공유서비스 ‘지쿠’를 운영하는 기업,series C,119.0억원 이상,550.9억원,356,"모빌리티/교통마이크로모빌리티, B2C, 렌탈/대여, APP, 상품/하드웨어"
데일리페이,데일리페이,온라인몰 선정산 서비스 '데일리페이'를 운영하는 기업,seed,비공개,-,6,"금융/보험/핀테크이커머스, 결제/페이먼트, 소상공인, B2B, SaaS/엔터프라이즈"
스칼라데이터,모두의충전,전기차 충전 인프라 통합 플랫폼 '모두의충전'을 운영하는 기업,series A,60.0억원 이상,46.7억원,19,"모빌리티/교통배터리, 전기차/수소차, 데이터, 빅데이터, B2C, 플랫폼/마켓플레이스"
넛지헬스케어,캐시워크,건강관리 리워드 서비스 '캐시워크'를 운영하는 기업,series A (추정),300.0억원,792.3억원,252,"콘텐츠/예술, 헬스케어/바이오, 광고/마케팅디지털헬스케어, 스포츠/운동, 리워드, B2C, 플랫폼/마켓플레이스"
그래비티랩스,머니워크,돈 버는 만보기 플랫폼 ‘머니워크’를 운영하는 기업,비공개,27.0억원 이상,5.5억원,14,"콘텐츠/예술, 광고/마케팅디지털헬스케어, 스포츠/운동, 리워드, B2C, 플랫폼/마켓플레이스"
핀다,핀다,대출 중개 및 관리 플랫폼 '핀다'를 운영하는 기업,series C,644.7억원,282.9억원,127,"금융/보험/핀테크, AI/딥테크/블록체인대출, P2P, 빅데이터, B2C, 플랫폼/마켓플레이스"
버드뷰,화해,화장품 정보 제공 및 판매 플랫폼 '화해'를 운영하는 기업,pre-IPO,256.0억원 이상,-,147,"뷰티/화장품이커머스, 스킨케어/클렌징, 색조/메이크업, 헤어/바디"
엘박스,엘박스,"판결문 검색 서비스 '엘박스', 판결문 기반 변호사 찾기 서비스 '엘파인드'를 운영하는 기업",series B,240.0억원 이상,22.1억원,46,"인사/비즈니스/법률법률, 클라우드, 검색/검색엔진, B2B, B2C, SaaS/엔터프라이즈"
어글리랩,오늘수거,비대면 생활폐기물 수거 서비스 '오늘수거'를 운영하는 기업,pre-A,비공개,8.3억원,29,"환경/에너지분리수거, B2B, B2C, 구독, APP"
왓타임,되는시간,캘린더 연동 기반 일정 예약 솔루션 '되는시간' 및 기업용 채용 관리 솔루션 '라운드HR'을 운영하는 기업,seed,비공개,1.6억원,10,"인사/비즈니스/법률구인구직/채용, 조직관리/조직문화, 인사솔루션"
마야크루,슈퍼멤버스,인플루언서 마케팅 플랫폼 '슈퍼멤버스'를 운영하는 기업,비공개,비공개,-,21,"커머스, 광고/마케팅이커머스, 애드테크, 바이럴마케팅, B2B, B2C"
티몬,티몬,소셜커머스 플랫폼 '티몬'을 운영하는 기업,M&A,"4,650.0억원 이상","1,205.0억원",482,"커머스, 물류이커머스, 유통, 라스트마일, B2C, 플랫폼/마켓플레이스"
타임앤코,롱블랙,구독형 지식 콘텐츠 서비스 '롱블랙'을 운영하는 기업,seed,11.0억원,18.1억원,26,"콘텐츠/예술정기구독, 뉴스레터, 플랫폼/마켓플레이스, 구독"
아이브,,AI 기반 스마트팩토리 실현을 위한 비전검사 솔루션을 개발하는 기업,series C,360.0억원,61.5억원,70,"제조/하드웨어, AI/딥테크/블록체인스마트팩토리, 제조기술, 인공지능, 딥러닝/머신러닝"
라이언로켓,온에어스튜디오,AI기반 콘텐츠 제작 플랫폼을 운영하는 기업,비공개,135.0억원 이상,1.7억원,26,"콘텐츠/예술, AI/딥테크/블록체인미디어, 방송, 뉴스, 영상/비디오, 인공지능, 딥러닝/머신러닝"
