corporation,product,description,investment_round,total_investment,revenue,employee_num,keyword
이뮨앱스,이뮨앱스,항체 치료제를 개발하는 기업,series B,246.0억원,-,10,"헬스케어/바이오바이오/의료, 신약, 당뇨/고혈압/만성질환, B2B, 상품판매/브랜드/하드웨어"
듀오픽스레이,바이오센스텍,3세대 TFT 영상센서 기반으로 엑스레이 디텍터를 제조하는 기업,series C (추정),193.0억원 이상,10.8억원,26,"헬스케어/바이오, 제조/하드웨어영상/비디오, 바이오/의료, 진단/검사, 의료기기"
마성떡볶이,마성떡볶이,떡볶이 브랜드 '마성떡볶이'를 운영하는 기업,series A (추정),30.0억원,39.4억원,11,"푸드/농업B2C, 상품판매/브랜드/하드웨어, 상품/하드웨어"
요이땅,,부동산 거래중개 플랫폼을 개발하는 기업,seed,2.7억원,3.0억원,4,"부동산/건설부동산중개, 프롭테크, B2C, 플랫폼/마켓플레이스"
모두벤쳐스,모두의주방,공유주방 창업 플랫폼 '모두의 주방'을 운영하는 기업,series A,50.0억원,17.6억원,6,"부동산/건설, 인사/비즈니스/법률공유주방, 소상공인, 창업, B2B, 스타트업/창업자"
누리바이오,크라스,돌연변이 검출 키트 '크라스'를 제조하는 기업,M&A,15.0억원 이상,"6,428.3만원",17,"헬스케어/바이오바이오/의료, 진단/검사, 제조기술, 하드웨어, B2B"
엔케이젠,엔케이젠,NK세포치료제를 개발하는 기업,series A,40.0억원,-,2,"헬스케어/바이오바이오/의료, 신약, B2B, 상품판매/브랜드/하드웨어"
알피,비봇,건물 외벽 벽화로봇 '아트봇' 및 건물 도장로봇 '피봇'을 개발하는 기업,seed,비공개,11.8억원,14,"제조/하드웨어로봇, 제조기술, B2B, 용역"
헬스바이옴,절대혐기성 마이크로바이옴,"암,중추신경계질환 대상 절대혐기성 마이크로바이옴을 개발하는 기업",series B,100.0억원 이상,-,16,"헬스케어/바이오바이오/의료, 디지털치료제, B2B, 상품판매/브랜드/하드웨어"
시큐차트글로벌,p2eall,피싱 방지 플랫폼 '캐치' 및 블록체인 랭킹 서비스 'p2eAll'를 운영하는 기업,series A,82.0억원,29.3억원,,"통신/보안/데이터, AI/딥테크/블록체인보안/암호화, 통신/네트워크/5G, 암호화폐, B2C"
지에스에프시스템,스마트팜구축솔루션,스마트팜/스마트팩토리 구축 솔루션을 제공하는 기업,seed,6.0억원 이상,-,10,"푸드/농업, 제조/하드웨어스마트팜/로봇, 기계장비, 스마트팩토리, IoT, B2B, 상품판매/브랜드/하드웨어"
인벤테라,,MRI 조영제 신약 개발하는 기업,series B,181.0억원 이상,"1,008.3만원",18,"헬스케어/바이오바이오/의료, 신약, 제조기술, B2B"
오피스체크인,오피스체크인,개방형 상업용 부동산 중개 플랫폼 '오피스체크인'을 운영하는 기업,seed,비공개,2.4억원,2,"광고/마케팅, 부동산/건설마케팅솔루션, 부동산중개, 임대, 프롭테크"
나인독,프론트페이,"광고회사, 애드테크 미디어 기업 대상 광고비 선충전 및 선정산 플랫폼 '프론트페이'와 경험 기반 구독 플랫폼 '나인독'을 개발하는 기업",seed,7.0억원,1.4억원,12,"커머스, 금융/보험/핀테크, 광고/마케팅정기구독, BNPL, 애드테크, 플랫폼/마켓플레이스"
버그홀,버그시티,Web3.0 기반 가상사회 커뮤니티 '버그시티'를 운영하는 기업,seed,16.0억원 이상,"1,033.4만원",5,"소셜미디어/커뮤니티, AI/딥테크/블록체인커뮤니티, NFT/NFT거래소, web3.0"
효진오토테크,,자동차 차체 관련 설비를 개발 및 생산하는 기업,series B,140.0억원,205.9억원,48,"커머스, 제조/하드웨어유통, 부품, B2B, 상품판매/브랜드/하드웨어"
비스토스,생체신호의료기기,생체신호 진단분야 의료기기를 제조하는 기업,IPO,비공개,213.0억원,72,"헬스케어/바이오, 제조/하드웨어, 유아/출산바이오/의료, 진단/검사, 의료기기, 기계장비, 제조기술"
제르나바이오텍,,유전자 편집 기술로 치료제를 개발하는 기업,-,비공개,3.3억원,4,"헬스케어/바이오바이오/의료, 신약, 제조기술, B2B"
에피노젠,,Cryo-EM 기술 기반 면역 항암제를 개발하는 기업,비공개,비공개,-,5,"헬스케어/바이오바이오/의료, 암, 신약, 제조기술, B2B"
퓨어블랙,피이브,라이브 기반 중고등학생 대상 강의 플랫폼 '피이브'를 운영하는 기업,M&A,비공개,7.1억원,,"콘텐츠/예술, 교육영상/비디오, 영어, 수학, 청소년교육, 비대면교육, B2B"
오션나우,오션나우,다이버 대상 매칭 예약 플랫폼 '오션나우'를 운영하는 기업,seed,비공개,-,2,"소셜미디어/커뮤니티, 여행/레저커뮤니티, 여행정보, 레저/액티비티, B2C, 플랫폼/마켓플레이스"
카운터포인트리서치,카운터포인트리서치,IT 산업 대상 데이터를 수집 및 분석하여 인사이트를 제공하는 기업,-,비공개,6.9억원,18,"광고/마케팅, 통신/보안/데이터마케팅솔루션, 소비자조사, 데이터, 빅데이터"
요리반상회,간편식,간편식 제품을 제조 및 판매하는 기업,M&A,비공개,6.3억원,3,"커머스, 푸드/농업, 제조/하드웨어이커머스, 유통, 밀키트, 간편식/HMR, 제조기술, B2C"
플라츠,재칵,가구 디자인 플랫폼 '재칵'을 운영하는 기업,-,비공개,11.4억원,13,"커머스, 제조/하드웨어, 홈리빙/펫디자인, 가구, B2C, 상품판매/브랜드/하드웨어"
스파크앤어소시에이츠,스트림허브,클라우드 기반 커넥티드 카 솔루션 '스트림허브'를 제공하는 기업,M&A,비공개,69.9억원,17,"모빌리티/교통, 통신/보안/데이터커넥티드카/ADAS, 데이터, 보안/암호화, 클라우드"
퀀티파이드이에스지,ESG Reporting Tool,기업 ESG 분석 서비스 기반 비재무적 기업 정보 수집 및 리스크 평가 정보를 제공하는 기업,pre-A,27.0억원 이상,15.8억원,26,"인사/비즈니스/법률, 기타빅데이터, B2B, 플랫폼/마켓플레이스, SaaS/엔터프라이즈"
루왁코리아,보나피데 루왁코리아,커피 브랜드 ‘고릴라빈즈’를 운영하는 기업,M&A,비공개,46.6억원,17,"푸드/농업, 제조/하드웨어이커머스, 음료, 제조기술, 상품판매/브랜드/하드웨어"
길픽쳐스,영화/드라마,영화 및 드라마를 제작하는 기업,M&A,비공개,134.7억원,6,"콘텐츠/예술영화, 영상/비디오, 드라마, B2B, B2C, 상품판매/브랜드/하드웨어"
이노큐디,,퀀텀닷 필름 소재를 개발하는 기업,series B,60.0억원 이상,"2,950.8만원",20,"제조/하드웨어소재, 제조기술, 하드웨어, B2B"
더앤플래닛,,미디어 아트 및 오프라인 마케팅 서비스를 제공하는 기업,seed (추정),비공개,2.9억원,4,"광고/마케팅미디어, 영상/비디오, 디자인, 전시, 애드테크, B2B"
아틀라스랩스,스위치,AI 머신러닝 기술 '제로스' 기반 통화내용 자동기록 서비스 플랫폼 '스위치'를 운영하는 기업,series A,130.0억원,"1,510.0만원",4,"AI/딥테크/블록체인인공지능, 딥러닝/머신러닝, 자연어처리/텍스트마이닝"
오컴퍼니,,"복합소재, 접착 재료를 개발 및 제조하는 기업",-,비공개,"7,728.0만원",15,"제조/하드웨어소재, 부품, 제조기술, 하드웨어, B2B"
휴먼에이스,,동물실험 대체 인체 장기모사칩을 개발하는 기업,seed,비공개,1.1억원,8,"헬스케어/바이오, 제조/하드웨어바이오/의료, 신약, 진단/검사, 소재, 제조기술, B2B"
씨피식스,,자율주행 데이터 분석 기술을 제공하는 기업,-,비공개,3.0억원,9,"모빌리티/교통자율주행, 데이터, 보안/암호화, B2B, SaaS/엔터프라이즈"
아이티앤베이직,심플로우,"온라인 기반 실시간 청중응답 플랫폼 '심플로우', 조직관리 솔루션 '심오피스' 등을 운영하는 기업",pre-A,"7,000.0만원 이상",6.0억원,7,"교육, 인사/비즈니스/법률, 통신/보안/데이터비대면교육, 조직관리/조직문화, 모바일기술, 프로그래밍개발"
그럼피,도그파이터-월드워2,콘솔 기반 게임을 개발하는 기업,pre-A,10.0억원,505.4만원,,"게임대전게임, B2C, 플랫폼/마켓플레이스, 소프트웨어"
인지이엔티,,친환경 폐합성수지 열분해 유화 서비스를 제공하는 기업,series B (추정),150.0억원,23.4억원,21,"환경/에너지리사이클링/업사이클링, B2B, 공정/자재/설비, ESG"
